# Pin Out For LIFCL-17,,,,,,,,,,
"# Revision 0.9, Aug 04, 2020: Intial Release",,,,,,,,,,
"# Revision 0.91, Aug 12, 2020: Corrected VCCAUXH3/4/5",,,,,,,,,,
"# Revision 0.92, Oct 26, 2020:  Removed referrences to PMU",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PADN,FNC,BANK,DQS,CFG,LVDS,HIGHSPEED,CSFBGA121,WLCSP72,QFN72,CABGA256
2,VCC,-,-,-,-,-,-,-,5,-
4,VCC,-,-,-,-,-,-,-,6,-
8,VCCAUX,-,-,-,-,-,-,-,7,-
48,VCC,-,-,-,-,-,-,-,12,-
54,PB16A,5,BDQ22,CDR_RXP0/VREF5_1/ADC_CP0/COMP1P,True_OF_PB16B,TRUE,G11,E9,14,P3
55,VCCAUXH5,5,-,-,-,-,-,-,17,-
56,PB18A,5,BDQ22,PCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB18B,TRUE,H11,G9,16,N4
59,PB16B,5,BDQ22,CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB16A,TRUE,G10,E8,13,N3
62,PB18B,5,BDQ22,PCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB18A,TRUE,H10,F9,15,M4
63,VCCIO5,5,-,-,-,-,-,-,18,-
64,PB20A,5,BDQ22,PCLKT5_1/LLC_GPLL0T_IN/ADC_CP3,True_OF_PB20B,TRUE,J11,G8,11,L7
68,PB20B,5,BDQ22,PCLKC5_1/LLC_GPLL0C_IN/ADC_CN3,Comp_OF_PB20A,TRUE,J10,F8,10,M7
69,PB22A,5,BDQS22,-,True_OF_PB22B,TRUE,L7,-,-,L4
73,PB22B,5,BDQSN22,-,Comp_OF_PB22A,TRUE,L8,-,-,L5
76,PB24A,5,BDQ22,-,True_OF_PB24B,TRUE,L6,-,-,M3
79,PB26A,5,BDQ22,PCLKT5_2/ADC_CP2/COMP3P,True_OF_PB26B,TRUE,K11,F7,19,L6
81,PB24B,5,BDQ22,-,Comp_OF_PB24A,TRUE,K6,-,-,L3
85,PB26B,5,BDQ22,PCLKC5_2/ADC_CN2/COMP3N,Comp_OF_PB26A,TRUE,L11,G7,20,K7
86,PB28A,5,BDQ22,-,True_OF_PB28B,TRUE,K7,E7,-,N2
92,PB28B,5,BDQ22,-,Comp_OF_PB28A,TRUE,J7,F6,-,N1
93,PB30A,5,BDQ22,PCLKT5_3,True_OF_PB30B,TRUE,L10,G5,9,P1
98,PB30B,5,BDQ22,PCLKC5_3/VREF5_2,Comp_OF_PB30A,TRUE,K10,G6,8,P2
103,PB40A,4,BDQ46,VREF4_1,True_OF_PB40B,TRUE,L9,-,-,R1
109,PB42A,4,BDQ46,PCLKT4_3,True_OF_PB42B,TRUE,J8,-,-,R3
111,PB40B,4,BDQ46,-,Comp_OF_PB40A,TRUE,K9,-,-,R2
113,PB42B,4,BDQ46,PCLKC4_3,Comp_OF_PB42A,TRUE,K8,-,-,T2
115,PB44A,4,BDQ46,-,True_OF_PB44B,TRUE,H8,-,-,T3
117,PB44B,4,BDQ46,-,Comp_OF_PB44A,TRUE,H7,-,-,T4
118,PB46A,4,BDQS46,-,True_OF_PB46B,TRUE,G7,-,-,R5
